affiliation_name,dmp_id,is_pilot_dmp,is_a_match,notes,provenance,related_work,type,publisher,container,publication_date,title,location,authors,weighted_score
Arizona State University,https://doi.org/10.48321/D1J935,FALSE,No,Same article as above. Additional authors and contributors. DMSP in planned phase - dates do not match up with article publishing too close to project start date of January 2024.,crossref,https://doi.org/10.1101/2024.04.16.589816,article,Cold Spring Harbor Laboratory,[],2024-04-20,Breaking out of the cycle: Including quiescence in cell cycle classification,,Samantha A. O’Connor | Leonor Garcia | Anoop P. Patel | Jean-Philippe Hugnot | Patrick J. Paddison | Christopher L. Plaisier,17
Arizona State University,https://doi.org/10.48321/D1J935,FALSE,No,Same article as above. Data availability statement does not match DMSP outputs.  dates do not match up with article publishing too close to project start date of January 2024.,crossref,https://doi.org/10.1016/j.biomaterials.2024.122505,article,Elsevier BV,"[""Biomaterials""]",2024-04,Biomimetic nanodrug targets inflammation and suppresses YAP/TAZ to ameliorate atherosclerosis,"vol: 306, pgs: 122505",Hui-Chun Huang | Ting-Yun Wang | Joshua Rousseau | Mark Orlando | Michelle Mungaray | Chamonix Michaud | Christopher Plaisier | Zhen Bouman Chen | Kuei-Chun Wang,12
Arizona State University,https://doi.org/10.48321/D1J935,FALSE,No,Same article as above. Additional authors and contributors. DMSP in planned phase - dates do not match up with article publishing too close to project start date of January 2024.,openalex,https://doi.org/10.1101/2024.04.16.589816,preprint,Cold Spring Harbor Laboratory,bioRxiv (Cold Spring Harbor Laboratory),2024-04-20,Breaking out of the cell cycle: Including quiescence in cell cycle classification,,Samantha O’Connor | L R García | Anoop P. Patel | Jean‐Philippe Hugnot | Patrick J. Paddison | Christopher Plaisier,17
Arizona State University,https://doi.org/10.48321/D1J935,FALSE,No,Same article as above. Additional authors and contributors. DMSP in planned phase - dates do not match up with article publishing too close to project start date of January 2024.,openalex,https://doi.org/10.1016/j.biomaterials.2024.122505,article,Elsevier BV,Biomaterials,2024-04-01,Biomimetic nanodrug targets inflammation and suppresses YAP/TAZ to ameliorate atherosclerosis,"vol: 306, pgs: 122505-122505",Hui-Chun Huang | Ting-Yun Wang | Joshua Rousseau | Mario Orlando | Michelle Mungaray | Chamonix Michaud | Christopher Plaisier | Zhen Chen | Kuei-Chun Wang,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,crossref,https://doi.org/10.1371/journal.pone.0308363,article,Public Library of Science (PLoS),"[""PLOS ONE""]",2024-08-05,Collective action within an environment of unknown unknowns: Experiences with the port of Mars Game,"vol: 19, iss: 8, pgs: e0308363",Marco A. Janssen | Raksha Balakrishna | Lance Gharavi | Yi-Chun Hong | Allen Lee | Christine Nguyen | Michael Simeone,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,crossref,https://doi.org/10.1145/3676281,article,Association for Computing Machinery (ACM),"[""Digital Government: Research and Practice""]",2024-07-02,ChatGPT on ChatGPT: An Exploratory Analysis of its Performance in the Public Sector Workplace,,Jieshu Wang | Elif Kiran | S.R. Aurora | Michael Simeone | Jose Lobo,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,crossref,https://doi.org/10.1080/13603124.2023.2272157,article,Informa UK Limited,"[""International Journal of Leadership in Education""]",2023-11-02,"Practices and typologies for using organizational data to identify potential leaders for equity, diversity, and inclusion within institutions",pgs: 1-12,Steve Elliott | Michael Simeone | Kimberly A. Scott | Elizabeth Wentz,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,"Referring back to itself, not a related work but the same DOI",datacite,https://doi.org/10.48321/d1pp6b,output-management-plan,DMPHub,,2023,Providing Capacity Metrics for NavalX Technology Development Ecosystems,,Michael Simeone,14
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,openalex,https://doi.org/10.1371/journal.pone.0308363,article,Public Library of Science,PLoS ONE,2024-08-05,Collective action within an environment of unknown unknowns: Experiences with the port of Mars Game,"vol: 19, iss: 8, pgs: e0308363-e0308363",Marco A. Janssen | Raksha Balakrishna | Lance Gharavi | Young-Woo Hong | Allen Lee | Christine Nguyen | Michael Simeone,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,openalex,https://doi.org/10.1145/3676281,article,Association for Computing Machinery,Digital Government Research and Practice,2024-07-02,ChatGPT on ChatGPT: An Exploratory Analysis of its Performance in the Public Sector Workplace,,Jieshu Wang | Elif KIRAN | Mai P. Trinh | Michael Simeone | José Lobo,12
Arizona State University,https://doi.org/10.48321/D1PP6B,FALSE,No,DMSP is for a different project than article. DMSP is only for data submitted to US DOD funded project.,openalex,https://doi.org/10.1080/13603124.2023.2272157,article,Taylor & Francis,International Journal of Leadership in Education,2023-11-02,"Practices and typologies for using organizational data to identify potential leaders for equity, diversity, and inclusion within institutions",pgs: 1-12,Steve Elliott | Michael Simeone | Kimberly A. Scott | Elizabeth A. Wentz,12
Arizona State University,https://doi.org/10.48321/D1VH0W,FALSE,No,DMSP is for a different project than article.,crossref,https://doi.org/10.1016/j.hfh.2023.100061,article,Elsevier BV,"[""Human Factors in Healthcare""]",2024-06,Positioning humility within healthcare delivery - From doctors’ and nurses’ perspectives,"vol: 5, pgs: 100061",Barret Michalec | Monica M. Cuddy | Kaitlyn Felix | Rachel Gur-Arie | Jon C. Tilburt | Frederic W. Hafferty,12
Arizona State University,https://doi.org/10.48321/D1VH0W,FALSE,No,Same article as above.,openalex,https://doi.org/10.1016/j.hfh.2023.100061,article,Elsevier BV,Human Factors in Healthcare,2024-06-01,Positioning humility within healthcare delivery - From doctors’ and nurses’ perspectives,"vol: 5, pgs: 100061-100061",Barret Michalec | Monica M. Cuddy | Kaitlyn Felix | Rachel Gur‐Arie | Jon C. Tilburt | Frederic W. Hafferty,12
Arizona State University,https://doi.org/10.48321/D1VM0X,FALSE,No,DMSP is for different project and funder.,crossref,https://doi.org/10.1080/10410236.2024.2357443,article,Informa UK Limited,"[""Health Communication""]",2024-06-04,Vested Interest Theory as a Framework for Understanding Anthropogenic Climate Change Risk Perceptions,pgs: 1-10,Bradley J. Adame | L. D. Mattson,17
Arizona State University,https://doi.org/10.48321/D1VM0X,FALSE,No,Same article as above.,openalex,https://doi.org/10.1080/10410236.2024.2357443,article,Taylor & Francis,Health Communication,2024-06-04,Vested Interest Theory as a Framework for Understanding Anthropogenic Climate Change Risk Perceptions,pgs: 1-10,Bradley J. Adame | L. D. Mattson,17
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1002/pmic.201600008,article,Wiley,"[""PROTEOMICS""]",2016-07,Comparative top down proteomics of peripheral blood mononuclear cells from kidney transplant recipients with normal kidney biopsies or acute rejection,"vol: 16, iss: 14, pgs: 2048-2058",John P. Savaryn | Timothy K. Toby | Adam D. Catherman | Ryan T. Fellers | Richard D. LeDuc | Paul M. Thomas | John J. Friedewald | Daniel R. Salomon | Michael M. Abecassis | Neil L. Kelleher,15
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1002/pmic.201600008,article,Wiley,PROTEOMICS,2016-07-01,Comparative top down proteomics of peripheral blood mononuclear cells from kidney transplant recipients with normal kidney biopsies or acute rejection,"vol: 16, iss: 14, pgs: 2048-2058",John P. Savaryn | Timothy K. Toby | Adam D. Catherman | Ryan T. Fellers | Richard D. LeDuc | Paul M. Thomas | John Friedewald | Daniel R. Salomon | Michaël Abécassis | Neil L. Kelleher,15
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1002/pmic.201600113,article,Wiley,"[""PROTEOMICS""]",2016-08-24,A researcher's guide to mass spectrometry‐based proteomics,"vol: 16, iss: 18, pgs: 2435-2443",John P. Savaryn | Timothy K. Toby | Neil L. Kelleher,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1002/pmic.201600113,article,Wiley,PROTEOMICS,2016-08-24,A researcher's guide to mass spectrometry‐based proteomics,"vol: 16, iss: 18, pgs: 2435-2443",John P. Savaryn | Timothy K. Toby | Neil L. Kelleher,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,crossref,https://doi.org/10.1002/pmic.201700156,article,Wiley,"[""PROTEOMICS""]",2017-10,Cell Surface Proteomics of N-Linked Glycoproteins for Typing of Human Lymphocytes,"vol: 17, iss: 19, pgs: 1700156",Nicole A. Haverland | Matthew Waas | Ioanna Ntai | Theodore Keppel | Rebekah L. Gundry | Neil L. Kelleher,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,openalex,https://doi.org/10.1002/pmic.201700156,article,Wiley,PROTEOMICS,2017-10-01,Cell Surface Proteomics of N-Linked Glycoproteins for Typing of Human Lymphocytes,"vol: 17, iss: 19, pgs: 1700156-1700156",Nicole A. Haverland | Matthew Waas | Ioanna Ntai | Theodore R. Keppel | Rebekah L. Gundry | Neil L. Kelleher,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1002/pmic.202100209,article,Wiley,"[""PROTEOMICS""]",2022-03-23,ProSight Annotator: Complete control and customization of protein entries in UniProt XML files,"vol: 22, iss: 11-12",Joseph B. Greer | Bryan P. Early | Kenneth R. Durbin | Steven M. Patrie | Paul M. Thomas | Neil L. Kelleher | Richard D. LeDuc | Ryan T. Fellers,15
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1002/pmic.202100209,article,Wiley,PROTEOMICS,2022-03-23,ProSight Annotator: Complete control and customization of protein entries in UniProt XML files,"vol: 22, iss: 11-12",Joseph B. Greer | Bryan P. Early | Kenneth R. Durbin | Steven M. Patrie | Paul M. Thomas | Neil L. Kelleher | Richard D. LeDuc | Ryan T. Fellers,15
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1007/978-1-4939-3524-6_8,book-chapter,Springer New York,"[""Methods in Molecular Biology"", ""Quantitative Proteomics by Mass Spectrometry""]",2016,"A Method for Label-Free, Differential Top-Down Proteomics",pgs: 121-133,Ioanna Ntai | Timothy K. Toby | Richard D. LeDuc | Neil L. Kelleher,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1007/978-1-4939-3524-6_8,article,Springer Science+Business Media,Methods in molecular biology,2016-01-01,"A Method for Label-Free, Differential Top-Down Proteomics",pgs: 121-133,Ioanna Ntai | Timothy K. Toby | Richard D. LeDuc | Neil L. Kelleher,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,crossref,https://doi.org/10.1007/s11306-024-02153-8,article,Springer Science and Business Media LLC,"[""Metabolomics""]",2024-08-02,Bioactivity-driven fungal metabologenomics identifies antiproliferative stemphone analogs and their biosynthetic gene cluster,"vol: 20, iss: 5",Navid J. Ayon | Cody E. Earp | Raveena Gupta | Fatma A. Butun | Ashley E. Clements | Alexa G. Lee | David Dainko | Matthew T. Robey | Manead Khin | Lina Mardiana | Alexandra Longcake | Manuel Rangel-Grimaldo | Michael J. Hall | Michael R. Probert | Joanna E. Burdette | Nancy P. Keller | Huzefa A. Raja | Nicholas H. Oberlies | Neil L. Kelleher | Lindsay K. Caesar,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,openalex,https://doi.org/10.1007/s11306-024-02153-8,article,Springer Science+Business Media,Metabolomics,2024-08-02,Bioactivity-driven fungal metabologenomics identifies antiproliferative stemphone analogs and their biosynthetic gene cluster,"vol: 20, iss: 5",Navid J. Ayon | Cody E. Earp | Raveena Gupta | Fatma Ayaloglu Butun | Alison Clements | A.G. Lee | David Dainko | Matthew T. Robey | Manead Khin | Lina Mardiana | Alexandra Longcake | Manuel Rangel‐Grimaldo | Michael J. Hall | Michael R. Probert | Joanna E. Burdette | Nancy P. Keller | Huzefa A. Raja | Nicholas H. Oberlies | Neil L. Kelleher | Lindsay K. Caesar,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,crossref,https://doi.org/10.1007/s13361-017-1635-x,article,American Chemical Society (ACS),"[""Journal of the American Society for Mass Spectrometry""]",2017-04-03,Defining Gas-Phase Fragmentation Propensities of Intact Proteins During Native Top-Down Mass Spectrometry,"vol: 28, iss: 6, pgs: 1203-1215",Nicole A. Haverland | Owen S. Skinner | Ryan T. Fellers | Areeba A. Tariq | Bryan P. Early | Richard D. LeDuc | Luca Fornelli | Philip D. Compton | Neil L. Kelleher,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,openalex,https://doi.org/10.1007/s13361-017-1635-x,article,American Chemical Society,Journal of the American Society for Mass Spectrometry,2017-04-03,Defining Gas-Phase Fragmentation Propensities of Intact Proteins During Native Top-Down Mass Spectrometry,"vol: 28, iss: 6, pgs: 1203-1215",Nicole A. Haverland | Owen S. Skinner | Ryan T. Fellers | Areeba Tariq | Bryan P. Early | Richard D. LeDuc | Luca Fornelli | Philip D. Compton | Neil L. Kelleher,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1016/j.ccell.2020.04.004,article,Elsevier BV,"[""Cancer Cell""]",2020-05,Mutant EZH2 Induces a Pre-malignant Lymphoma Niche by Reprogramming the Immune Response,"vol: 37, iss: 5, pgs: 655-673.e11",Wendy Béguelin | Matt Teater | Cem Meydan | Kenneth B. Hoehn | Jude M. Phillip | Alexey A. Soshnev | Leandro Venturutti | Martín A. Rivas | María T. Calvo-Fernández | Johana Gutierrez | Jeannie M. Camarillo | Katsuyoshi Takata | Karin Tarte | Neil L. Kelleher | Christian Steidl | Christopher E. Mason | Olivier Elemento | C. David Allis | Steven H. Kleinstein | Ari M. Melnick,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1016/j.ccell.2020.04.004,article,Cell Press,Cancer Cell,2020-05-01,Mutant EZH2 Induces a Pre-malignant Lymphoma Niche by Reprogramming the Immune Response,"vol: 37, iss: 5, pgs: 655-673.e11",Wendy Béguelin | Matt Teater | Cem Meydan | Kenneth B. Hoehn | Jude M. Phillip | Alexey A. Soshnev | Leandro Venturutti | Martín A. Rivas | María Teresa Calvo | Johana Gutierrez | Jeannie M. Camarillo | Katsuyoshi Takata | Karin Tarte | Neil L. Kelleher | Christian Steidl | Christopher E. Mason | Olivier Elemento | C. David Allis | Steven H. Kleinstein | Ari Melnick,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,crossref,https://doi.org/10.1016/j.celrep.2017.09.078,article,Elsevier BV,"[""Cell Reports""]",2017-10,UTX/KDM6A Loss Enhances the Malignant Phenotype of Multiple Myeloma and Sensitizes Cells to EZH2 inhibition,"vol: 21, iss: 3, pgs: 628-640",Teresa Ezponda | Daphné Dupéré-Richer | Christine M. Will | Eliza C. Small | Nobish Varghese | Tej Patel | Behnam Nabet | Relja Popovic | Jon Oyer | Marinka Bulic | Yupeng Zheng | Xiaoxiao Huang | Mrinal Y. Shah | Sayantan Maji | Alberto Riva | Manuela Occhionorelli | Giovanni Tonon | Neil Kelleher | Jonathan Keats | Jonathan D. Licht,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,yes,Grant number in Acknowledgements,openalex,https://doi.org/10.1016/j.celrep.2017.09.078,article,Cell Press,Cell Reports,2017-10-01,UTX/KDM6A Loss Enhances the Malignant Phenotype of Multiple Myeloma and Sensitizes Cells to EZH2 inhibition,"vol: 21, iss: 3, pgs: 628-640",Teresa Ezponda | Daphne Dupéré-Richér | Christine Will | Eliza C. Small | Nobish Varghese | Tej Patel | Behnam Nabet | Relja Popovic | Jon A. Oyer | Marinka Bulic | Yupeng Zheng | Xiaoxiao Huang | Mrinal Y. Shah | Sayantan Maji | Alberto Riva | Manuela Occhionorelli | Giovanni Tonon | Neil L. Kelleher | Jonathan J. Keats | Jonathan D. Licht,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,unsure,No sufficient acknowledgement of grants as far as I can see (conference paper),crossref,https://doi.org/10.1016/j.clml.2017.03.204,article,Elsevier BV,"[""Clinical Lymphoma Myeloma and Leukemia""]",2017-02,Top-Down Immunoglobulin Light chain Sequence Determination in Patients with POEMS Syndrome,"vol: 17, iss: 1, pgs: e112-e113",Patrick Vanderboom | Surendra Dasari | Ryan Fellers | Richard LeDuc | Benjamin Madden | David Barnidge | Neil Kelleher | Angela Dispenzieri | David Murray,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,unsure,No sufficient acknowledgement of grants as far as I can see (conference paper),openalex,https://doi.org/10.1016/j.clml.2017.03.204,article,Elsevier BV,Clinical Lymphoma Myeloma & Leukemia,2017-02-01,Top-Down Immunoglobulin Light chain Sequence Determination in Patients with POEMS Syndrome,"vol: 17, iss: 1, pgs: e112-e113",Patrick M. Vanderboom | Surendra Dasari | Ryan T. Fellers | Richard Leduc | Benjamin Madden | David R. Barnidge | Neil L. Kelleher | Angela Dispenzieri | David Murray,12
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,crossref,https://doi.org/10.1016/j.fgb.2020.103477,article,Elsevier BV,"[""Fungal Genetics and Biology""]",2020-11,In the fungus where it happens: History and future propelling Aspergillus nidulans as the archetype of natural products research,"vol: 144, pgs: 103477",Lindsay K. Caesar | Neil L. Kelleher | Nancy P. Keller,10
Northwestern University,https://doi.org/10.48321/D10B3E54E4,TRUE,no,Grant number NOT in Acknowledgements - other grants listed,openalex,https://doi.org/10.1016/j.fgb.2020.103477,article,Academic Press,Fungal Genetics and Biology,2020-11-01,In the fungus where it happens: History and future propelling Aspergillus nidulans as the archetype of natural products research,"vol: 144, pgs: 103477-103477",Lindsay K. Caesar | Neil L. Kelleher | Nancy P. Keller,10
